rats,groupe,nExp,cond,err,mang,pellets,pers,ratio,trend,session,bloc
21,eyfp,1,baseline,15,178,33,61,50,1,1,1
22,eyfp,1,baseline,21,126,24,13,35,1,1,1
27,eyfp,1,baseline,4,80,21,12,30,1,1,1
29,eyfp,1,baseline,21,136,33,121,50,1,1,1
41,eyfp,1,baseline,4,81,34,41,55,1,1,1
43,eyfp,1,baseline,15,70,12,18,15,1,1,1
46,eyfp,1,baseline,5,88,18,18,25,1,1,1
7,eyfp,2,baseline,1,127,26,11,40,1,1,1
11,eyfp,2,baseline,1,92,20,14,30,1,1,1
12,eyfp,2,baseline,1,73,17,9,25,1,1,1
4,inhi,1,baseline,4,109,18,41,25,1,1,1
24,inhi,1,baseline,15,60,23,7,35,1,1,1
30,inhi,1,baseline,35,58,26,17,40,1,1,1
31,inhi,1,baseline,2,86,21,3,30,1,1,1
32,inhi,1,baseline,14,179,28,8,45,1,1,1
34,inhi,1,baseline,16,74,15,12,20,1,1,1
35,inhi,1,baseline,6,53,23,18,35,1,1,1
36,inhi,1,baseline,4,102,31,79,50,1,1,1
1,inhi,2,baseline,13,75,20,4,30,1,1,1
21,eyfp,1,baseline,24,203,36,55,55,2,2,1
22,eyfp,1,baseline,54,42,18,25,25,2,2,1
27,eyfp,1,baseline,3,38,17,25,25,2,2,1
29,eyfp,1,baseline,88,81,28,45,45,2,2,1
41,eyfp,1,baseline,13,71,22,35,35,2,2,1
43,eyfp,1,baseline,20,103,30,45,45,2,2,1
46,eyfp,1,baseline,2,53,15,19,20,2,2,1
7,eyfp,2,baseline,2,125,21,12,30,2,2,1
11,eyfp,2,baseline,5,163,29,66,45,2,2,1
12,eyfp,2,baseline,4,114,23,25,35,2,2,1
4,inhi,1,baseline,9,39,16,26,25,2,2,1
24,inhi,1,baseline,30,102,28,45,45,2,2,1
30,inhi,1,baseline,16,111,24,35,35,2,2,1
31,inhi,1,baseline,8,60,17,25,25,2,2,1
32,inhi,1,baseline,1,25,9,10,10,2,2,1
34,inhi,1,baseline,20,81,20,30,30,2,2,1
35,inhi,1,baseline,11,47,18,25,25,2,2,1
36,inhi,1,baseline,8,83,33,50,50,2,2,1
1,inhi,2,baseline,1,104,13,7,20,2,2,1
21,eyfp,1,baseline,18,129,27,31,40,3,3,1
22,eyfp,1,baseline,22,52,16,15,25,3,3,1
27,eyfp,1,baseline,5,39,21,14,30,3,3,1
29,eyfp,1,baseline,16,84,30,51,45,3,3,1
41,eyfp,1,baseline,8,91,23,15,35,3,3,1
43,eyfp,1,baseline,21,112,24,7,35,3,3,1
46,eyfp,1,baseline,19,122,18,25,25,3,3,1
7,eyfp,2,baseline,3,112,21,6,30,3,3,1
11,eyfp,2,baseline,3,134,22,19,35,3,3,1
12,eyfp,2,baseline,4,110,22,16,35,3,3,1
4,inhi,1,baseline,1,60,17,32,25,3,3,1
24,inhi,1,baseline,66,127,27,16,40,3,3,1
30,inhi,1,baseline,29,73,24,11,35,3,3,1
31,inhi,1,baseline,11,59,21,35,30,3,3,1
32,inhi,1,baseline,4,58,14,10,20,3,3,1
34,inhi,1,baseline,18,60,17,5,25,3,3,1
35,inhi,1,baseline,15,61,23,33,35,3,3,1
36,inhi,1,baseline,6,54,27,55,40,3,3,1
1,inhi,2,baseline,2,57,16,54,25,3,3,1
21,eyfp,1,baseline,4,68,23,33,35,4,4,1
22,eyfp,1,baseline,11,48,15,8,20,4,4,1
27,eyfp,1,baseline,9,48,14,7,20,4,4,1
29,eyfp,1,baseline,20,71,29,59,45,4,4,1
41,eyfp,1,baseline,8,85,24,43,35,4,4,1
43,eyfp,1,baseline,13,57,19,6,30,4,4,1
46,eyfp,1,baseline,6,73,15,15,20,4,4,1
7,eyfp,2,baseline,3,136,22,9,35,4,4,1
11,eyfp,2,baseline,11,149,23,8,35,4,4,1
12,eyfp,2,baseline,0,67,17,6,25,4,4,1
4,inhi,1,baseline,9,136,23,41,35,4,4,1
24,inhi,1,baseline,44,104,32,84,50,4,4,1
30,inhi,1,baseline,6,86,26,17,40,4,4,1
31,inhi,1,baseline,4,53,23,16,35,4,4,1
32,inhi,1,baseline,3,56,16,12,25,4,4,1
34,inhi,1,baseline,19,27,13,8,20,4,4,1
35,inhi,1,baseline,14,37,15,28,20,4,4,1
36,inhi,1,baseline,4,51,26,77,40,4,4,1
1,inhi,2,baseline,2,47,15,12,20,4,4,1
21,eyfp,1,laser,9,96,25,41,40,5,1,2
22,eyfp,1,laser,28,32,18,32,25,5,1,2
27,eyfp,1,laser,2,39,17,11,25,5,1,2
29,eyfp,1,laser,10,57,26,130,40,5,1,2
41,eyfp,1,laser,27,124,27,40,40,5,1,2
43,eyfp,1,laser,13,85,19,19,30,5,1,2
46,eyfp,1,laser,1,43,12,14,15,5,1,2
7,eyfp,2,laser,0,115,19,7,30,5,1,2
11,eyfp,2,laser,2,91,21,5,30,5,1,2
12,eyfp,2,laser,0,130,26,33,40,5,1,2
4,inhi,1,laser,4,79,20,31,30,5,1,2
24,inhi,1,laser,60,155,36,24,55,5,1,2
30,inhi,1,laser,12,156,32,12,50,5,1,2
31,inhi,1,laser,12,106,22,10,35,5,1,2
32,inhi,1,laser,11,85,15,11,20,5,1,2
34,inhi,1,laser,16,95,25,28,40,5,1,2
35,inhi,1,laser,12,48,22,23,35,5,1,2
36,inhi,1,laser,26,88,30,100,45,5,1,2
1,inhi,2,laser,1,60,19,19,30,5,1,2
21,eyfp,1,laser,5,101,32,72,50,6,2,2
22,eyfp,1,laser,51,35,14,12,35,6,2,2
27,eyfp,1,laser,6,38,17,13,25,6,2,2
29,eyfp,1,laser,29,112,29,110,45,6,2,2
41,eyfp,1,laser,6,114,35,39,55,6,2,2
43,eyfp,1,laser,21,44,19,8,30,6,2,2
46,eyfp,1,laser,3,37,13,10,20,6,2,2
7,eyfp,2,laser,2,147,21,16,30,6,2,2
11,eyfp,2,laser,0,64,15,3,20,6,2,2
12,eyfp,2,laser,1,66,21,10,30,6,2,2
4,inhi,1,laser,2,154,22,41,35,6,2,2
24,inhi,1,laser,49,81,30,144,45,6,2,2
30,inhi,1,laser,10,63,29,22,45,6,2,2
31,inhi,1,laser,7,46,18,22,25,6,2,2
32,inhi,1,laser,18,63,16,10,25,6,2,2
34,inhi,1,laser,15,118,23,21,35,6,2,2
35,inhi,1,laser,20,32,18,20,25,6,2,2
36,inhi,1,laser,41,73,26,72,40,6,2,2
1,inhi,2,laser,2,71,21,28,30,6,2,2
21,eyfp,1,laser,14,137,33,47,50,7,3,2
22,eyfp,1,laser,14,38,17,10,25,7,3,2
27,eyfp,1,laser,4,23,11,30,15,7,3,2
29,eyfp,1,laser,3,98,28,40,45,7,3,2
41,eyfp,1,laser,6,88,23,58,35,7,3,2
43,eyfp,1,laser,21,84,24,21,35,7,3,2
46,eyfp,1,laser,3,59,14,22,20,7,3,2
7,eyfp,2,laser,0,147,18,9,25,7,3,2
11,eyfp,2,laser,4,51,16,12,25,7,3,2
12,eyfp,2,laser,3,182,22,12,35,7,3,2
4,inhi,1,laser,4,78,17,34,25,7,3,2
24,inhi,1,laser,62,91,35,50,55,7,3,2
30,inhi,1,laser,10,76,24,20,35,7,3,2
31,inhi,1,laser,4,43,18,15,25,7,3,2
32,inhi,1,laser,11,67,17,26,25,7,3,2
34,inhi,1,laser,6,52,18,28,25,7,3,2
35,inhi,1,laser,7,33,17,22,25,7,3,2
36,inhi,1,laser,11,71,26,46,40,7,3,2
1,inhi,2,laser,4,64,20,33,30,7,3,2
21,eyfp,1,laser,7,95,30,79,45,8,4,2
22,eyfp,1,laser,25,63,20,20,30,8,4,2
27,eyfp,1,laser,0,36,13,10,20,8,4,2
29,eyfp,1,laser,3,71,32,55,50,8,4,2
41,eyfp,1,laser,18,75,29,38,45,8,4,2
43,eyfp,1,laser,19,147,25,15,40,8,4,2
46,eyfp,1,laser,10,58,15,20,20,8,4,2
7,eyfp,2,laser,0,109,19,40,30,8,4,2
11,eyfp,2,laser,6,107,22,41,30,8,4,2
12,eyfp,2,laser,2,89,20,24,30,8,4,2
4,inhi,1,laser,1,44,14,46,20,8,4,2
24,inhi,1,laser,14,60,27,10,40,8,4,2
30,inhi,1,laser,4,53,27,17,40,8,4,2
31,inhi,1,laser,6,61,21,16,30,8,4,2
32,inhi,1,laser,27,77,15,6,20,8,4,2
34,inhi,1,laser,25,55,21,16,30,8,4,2
35,inhi,1,laser,4,36,16,23,25,8,4,2
36,inhi,1,laser,20,65,25,48,40,8,4,2
1,inhi,2,laser,3,84,25,25,40,8,4,2
21,eyfp,1,laser,10,149,37,91,60,9,5,3
22,eyfp,1,laser,7,34,15,22,20,9,5,3
27,eyfp,1,laser,3,46,19,14,30,9,5,3
29,eyfp,1,laser,7,123,27,55,40,9,5,3
41,eyfp,1,laser,9,37,22,31,35,9,5,3
43,eyfp,1,laser,9,105,21,11,30,9,5,3
46,eyfp,1,laser,0,48,14,25,20,9,5,3
7,eyfp,2,laser,2,84,18,8,25,9,5,3
11,eyfp,2,laser,1,115,17,6,25,9,5,3
12,eyfp,2,laser,3,152,24,32,35,9,5,3
4,inhi,1,laser,11,87,14,20,30,9,5,3
24,inhi,1,laser,26,87.5,28.5,10.5,42.5,9,5,3
30,inhi,1,laser,5,46,21,52,30,9,5,3
31,inhi,1,laser,5,75,22,21,35,9,5,3
32,inhi,1,laser,7,53,17,11,25,9,5,3
34,inhi,1,laser,15,64,21,16,30,9,5,3
35,inhi,1,laser,8,34,16,16,25,9,5,3
36,inhi,1,laser,5,57,25,35,40,9,5,3
1,inhi,2,laser,4,45,13,10,20,9,5,3
21,eyfp,1,laser,3,88,28,79,45,10,6,3
22,eyfp,1,laser,7,92,18,10,25,10,6,3
27,eyfp,1,laser,1,71,19,8,30,10,6,3
29,eyfp,1,laser,10,72,25,43,40,10,6,3
41,eyfp,1,laser,5,60,25,54,40,10,6,3
43,eyfp,1,laser,25,138,23,9,35,10,6,3
46,eyfp,1,laser,5,32,12,22,15,10,6,3
7,eyfp,2,laser,2,372,24,18,35,10,6,3
11,eyfp,2,laser,6,86,15,17,20,10,6,3
12,eyfp,2,laser,4,61,19,21,30,10,6,3
4,inhi,1,laser,1,43,21,16,25,10,6,3
24,inhi,1,laser,38,115,30,11,45,10,6,3
30,inhi,1,laser,4,58,27,18,40,10,6,3
31,inhi,1,laser,2,34,16,25,25,10,6,3
32,inhi,1,laser,7,65,16,10,25,10,6,3
34,inhi,1,laser,14,134,24,32,35,10,6,3
35,inhi,1,laser,6,38,16,14,25,10,6,3
36,inhi,1,laser,8,61,28,87,45,10,6,3
1,inhi,2,laser,6,48,19,26,30,10,6,3
21,eyfp,1,laser,5.5,105.5,26,60,40,11,7,3
22,eyfp,1,laser,8,34,16,12,25,11,7,3
27,eyfp,1,laser,1,24,14,7,20,11,7,3
29,eyfp,1,laser,9,93,35,69,55,11,7,3
41,eyfp,1,laser,6,100,25,27,40,11,7,3
43,eyfp,1,laser,13,46,14,13,20,11,7,3
46,eyfp,1,laser,3,34,11,19,15,11,7,3
7,eyfp,2,laser,2,153,22,17,35,11,7,3
11,eyfp,2,laser,5,105,16,14,25,11,7,3
12,eyfp,2,laser,6,71,19,17,30,11,7,3
4,inhi,1,laser,2,65,16,45,25,11,7,3
24,inhi,1,laser,45,67,25,8,40,11,7,3
30,inhi,1,laser,13,95,31,19,50,11,7,3
31,inhi,1,laser,0,42,18,49,25,11,7,3
32,inhi,1,laser,27,77,16,42,25,11,7,3
34,inhi,1,laser,5,63,18,9,25,11,7,3
35,inhi,1,laser,3,41,19,21,30,11,7,3
36,inhi,1,laser,12,84,28,80,45,11,7,3
1,inhi,2,laser,3,106,25,27,40,11,7,3
21,eyfp,1,laser,8,123,24,41,35,12,8,3
22,eyfp,1,laser,8,79,21,31,30,12,8,3
27,eyfp,1,laser,5,38,15,9,20,12,8,3
29,eyfp,1,laser,19,137,33,56,50,12,8,3
41,eyfp,1,laser,4,76,24,21,35,12,8,3
43,eyfp,1,laser,10,104,20,14,30,12,8,3
46,eyfp,1,laser,0,33,9,10,10,12,8,3
7,eyfp,2,laser,1,103,20,10,30,12,8,3
11,eyfp,2,laser,2,87,18,35,25,12,8,3
12,eyfp,2,laser,8,133,27,10,40,12,8,3
4,inhi,1,laser,1,76,23,69,35,12,8,3
24,inhi,1,laser,27,52,16,8,25,12,8,3
30,inhi,1,laser,7,65,25,17,40,12,8,3
31,inhi,1,laser,4,72,18,7,25,12,8,3
32,inhi,1,laser,3,72,13,9,20,12,8,3
34,inhi,1,laser,5,39,11,8,15,12,8,3
35,inhi,1,laser,4,53,19,26,30,12,8,3
36,inhi,1,laser,6,76,24,77,35,12,8,3
1,inhi,2,laser,1,31,12,75,15,12,8,3
21,eyfp,1,off,3,64,22,32,35,13,1,4
22,eyfp,1,off,7,35,16,13,25,13,1,4
27,eyfp,1,off,5,23,13,9,20,13,1,4
29,eyfp,1,off,10,100,37,57,60,13,1,4
41,eyfp,1,off,1,39,17,11,25,13,1,4
43,eyfp,1,off,6,60,15,7,20,13,1,4
46,eyfp,1,off,6,84,19,19,30,13,1,4
7,eyfp,2,off,3,76,14,4,20,13,1,4
11,eyfp,2,off,2,154,22,9,35,13,1,4
12,eyfp,2,off,1,67,18,20,25,13,1,4
4,inhi,1,off,0,69,22,101,35,13,1,4
24,inhi,1,off,18,117,30,78,45,13,1,4
30,inhi,1,off,7,54,15,6,20,13,1,4
31,inhi,1,off,4,44,18,7,25,13,1,4
32,inhi,1,off,1,18,10,4,15,13,1,4
34,inhi,1,off,13,79,17,11,25,13,1,4
35,inhi,1,off,3,26,21,19,30,13,1,4
36,inhi,1,off,8,56,25,29,40,13,1,4
1,inhi,2,off,3,60,23,20,35,13,1,4
21,eyfp,1,off,11,70,28,61,45,14,2,4
22,eyfp,1,off,5,33,16,22,25,14,2,4
27,eyfp,1,off,3,59,13,9,20,14,2,4
29,eyfp,1,off,4,112,31,57,50,14,2,4
41,eyfp,1,off,2,76,24,21,35,14,2,4
43,eyfp,1,off,10,163,20,10,30,14,2,4
46,eyfp,1,off,0,30,12,5,15,14,2,4
7,eyfp,2,off,3,276,24,23,35,14,2,4
11,eyfp,2,off,1,56,16,9,25,14,2,4
12,eyfp,2,off,7,81,20,15,30,14,2,4
4,inhi,1,off,4,115,13,6,20,14,2,4
24,inhi,1,off,59,113,31,10,50,14,2,4
30,inhi,1,off,7,57,21,14,30,14,2,4
31,inhi,1,off,21,43,21,11,30,14,2,4
32,inhi,1,off,6,44,11,2,15,14,2,4
34,inhi,1,off,9,95,20,12,30,14,2,4
35,inhi,1,off,6,13,9,6,10,14,2,4
36,inhi,1,off,19,65,29,44,45,14,2,4
1,inhi,2,off,7,80,22,20,35,14,2,4
21,eyfp,1,off,6,60,25,37,40,15,3,4
22,eyfp,1,off,9,39,17,11,25,15,3,4
27,eyfp,1,off,0,31,10,3,15,15,3,4
29,eyfp,1,off,6,114,31,57,50,15,3,4
41,eyfp,1,off,3,42,20,14,30,15,3,4
43,eyfp,1,off,13,55,17,7,25,15,3,4
46,eyfp,1,off,0,51,11,13,15,15,3,4
7,eyfp,2,off,2,74,13,10,20,15,3,4
11,eyfp,2,off,4,92,19,9,30,15,3,4
12,eyfp,2,off,6,79,23,14,35,15,3,4
4,inhi,1,off,4,69,13,23,20,15,3,4
24,inhi,1,off,61,84,33,30,50,15,3,4
30,inhi,1,off,13,103,21,17,30,15,3,4
31,inhi,1,off,1,33,13,12,20,15,3,4
32,inhi,1,off,0,32,9,4,10,15,3,4
34,inhi,1,off,5,57,17,9,25,15,3,4
35,inhi,1,off,6,13,10,15,15,15,3,4
36,inhi,1,off,17,91,28,59,45,15,3,4
1,inhi,2,off,2,79,23,20,35,15,3,4
21,eyfp,1,off,6,64,22,41,35,16,4,4
22,eyfp,1,off,1,35,14,11,20,16,4,4
27,eyfp,1,off,2,34,15,7,20,16,4,4
29,eyfp,1,off,19,115,38,78,60,16,4,4
41,eyfp,1,off,7,43,20,20,30,16,4,4
43,eyfp,1,off,2,55,16,12,25,16,4,4
46,eyfp,1,off,2,90,15,11,20,16,4,4
7,eyfp,2,off,0,59,16,4,25,16,4,4
11,eyfp,2,off,1,84,21,14,30,16,4,4
12,eyfp,2,off,1,64,20,15,30,16,4,4
4,inhi,1,off,1,72,19,37,30,16,4,4
24,inhi,1,off,76,106,31,17,50,16,4,4
30,inhi,1,off,11,51,17,16,25,16,4,4
31,inhi,1,off,2,35,15,9,20,16,4,4
32,inhi,1,off,5,59,14,6,20,16,4,4
34,inhi,1,off,15,56,17,8,25,16,4,4
35,inhi,1,off,11,29,18,19,25,16,4,4
36,inhi,1,off,18,78,28.5,51.5,45,16,4,4
1,inhi,2,off,1,128,18,10,25,16,4,4
21,eyfp,1,challenge,7,117,26,69,40,17,1,5
22,eyfp,1,challenge,7,91,22,22,35,17,1,5
27,eyfp,1,challenge,4,51,16,7,25,17,1,5
29,eyfp,1,challenge,5,84,27,208,40,17,1,5
41,eyfp,1,challenge,7,54,21,36,30,17,1,5
43,eyfp,1,challenge,20,95,18,1,25,17,1,5
46,eyfp,1,challenge,1,54,14,17,20,17,1,5
7,eyfp,2,challenge,2,183,24,9,35,17,1,5
11,eyfp,2,challenge,2,86,20,19,30,17,1,5
12,eyfp,2,challenge,8,109,19,148,30,17,1,5
4,inhi,1,challenge,0,75,17,36,25,17,1,5
24,inhi,1,challenge,31,213,41,28,65,17,1,5
30,inhi,1,challenge,6,121,30,31,45,17,1,5
31,inhi,1,challenge,11,151,28,26,45,17,1,5
32,inhi,1,challenge,10,99,17,21,25,17,1,5
34,inhi,1,challenge,8,201,23,67,35,17,1,5
35,inhi,1,challenge,10,87,26,30,40,17,1,5
36,inhi,1,challenge,9,154,37,107,60,17,1,5
1,inhi,2,challenge,7,159,23,160,35,17,1,5
